title,id,link,totalTime,cookTime,description,imageLink,weatherTempTag,weatherConditionTag
Slow Cooked Creamy Chicken & Wild Rice,25224,http://www.campbellskitchen.com/recipes/slow-cooked-creamy-chicken-wild-rice-25224,430,420,"It takes only 10 minutes to put 5 simple ingredients together in the slow cooker. And after it simmers away all day, you've got 1 delicious meal!",http://www.campbellskitchen.com/recipeimages/slow-cooked-creamy-chicken-wild-rice-large-25224.jpg,,
Cheesy Chicken & Potato Casserole,61697,http://www.campbellskitchen.com/recipes/cheesy-chicken-potato-casserole-61697,60,45,"Frozen hash browns with onions and peppers are topped with cooked chicken, a delicious soup mixture and Cheddar cheese. Baked until hot and bubbling and sprinkled with crumbled bacon, this savory, satisfying casserole is sure to please.",http://www.campbellskitchen.com/recipeimages/cheesy-chicken-potato-casserole-large-61697.jpg,,
One-Dish Chicken & Stuffing Bake,24482,http://www.campbellskitchen.com/recipes/one-dish-chicken-stuffing-bake-24482,45,30,"Chicken, stuffing and mushroom sauce bake together for a hassle-free and hearty dinner. You just know this one's going to be good!",http://www.campbellskitchen.com/recipeimages/one-dish-chicken-stuffing-bake-large-24482.jpg,,
Homestyle Chicken & Biscuits,24695,http://www.campbellskitchen.com/recipes/homestyle-chicken-biscuits-24695,45,30,"Pressed for time?  This delectable casserole has everything you're looking for, chicken, veggies, biscuits, and a cheesy creamy sauce, ready to serve in just 45 minutes!",http://www.campbellskitchen.com/recipeimages/homestyle-chicken-biscuits-large-24695.jpg,,
"Baked Chicken, Broccoli & Rice",24439,"http://www.campbellskitchen.com/recipes/baked-chicken,-broccoli-rice-24439",55,45,This family-friendly casserole features great taste and quick and easy preparation. It's a winner.,"http://www.campbellskitchen.com/recipeimages/baked-chicken,-broccoli-rice-large-24439.jpg",,
Chicken Crunch,24332,http://www.campbellskitchen.com/recipes/chicken-crunch-24332,35,25,"This extra-crunchy, oven-fried chicken is a favorite of both kids and adults. Its secret ingredient is herb-seasoned stuffing.",http://www.campbellskitchen.com/recipeimages/chicken-crunch-large-24332.jpg,,
Easy Baked Chicken & Rice Casserole,904419,http://www.campbellskitchen.com/recipes/easy-cheesy-chicken-rice-casserole-904419,30,25,"An all-time favorite casserole gets a makeover by using a creamy herb and garlic soup. It adds wonderful flavor to the chicken, rice and veggies. Plus, you can have this delicious and hearty dish on the table in just 30 minutes.",http://www.campbellskitchen.com/recipeimages/easy-cheesy-chicken-rice-casserole-large-904419.jpg,,
Chicken Tetrazzini,60308,http://www.campbellskitchen.com/recipes/chicken-tetrazzini-60308,25,5,"It takes just 25 minutes to make this luscious pasta dish featuring chicken, Parmesan cheese and a creamy mushroom sauce.",http://www.campbellskitchen.com/recipeimages/chicken-tetrazzini-large-60308.jpg,,
Easy Chicken and Biscuits,24190,http://www.campbellskitchen.com/recipes/easy-chicken-and-biscuits-24190,45,35,"This creamy chicken and vegetable dish features an enticing sauce made with cream of potato and cream of broccoli soups, and is topped with golden biscuits for a real home-style flavor. And it's on the table in just 45 minutes.",http://www.campbellskitchen.com/recipeimages/easy-chicken-and-biscuits-large-24190.jpg,,
Cheesy Salsa Baked Chicken and Rice,62229,http://www.campbellskitchen.com/recipes/cheesy-salsa-baked-chicken-and-rice-62229,65,55,"This kicked up casserole features boneless chicken breasts, rice, salsa, chili powder and a creamy Cheddar cheese sauce. It's a scrumptious combination that the whole family will love!",http://www.campbellskitchen.com/recipeimages/cheesy-salsa-baked-chicken-and-rice-large-62229.jpg,,
Quick Chicken a la King,24166,http://www.campbellskitchen.com/recipes/quick-chicken-a-la-king-24166,30,10,"This creamy chicken with diced green or red peppers makes a perfect topping for rice or potatoes, and is a family favorite.",http://www.campbellskitchen.com/recipeimages/quick-chicken-a-la-king-large-24166.jpg,,
Slow Cooker Golden Chicken with Noodles,25329,http://www.campbellskitchen.com/recipes/slow-cooker-golden-chicken-with-noodles-25329,430,420,"Since this delightful chicken dish cooks itself in the slow cooker, it's perfect for any time of year.  It's a family-favorite that you'll make time and again.",http://www.campbellskitchen.com/recipeimages/slow-cooker-golden-chicken-with-noodles-large-25329.jpg,,
Chicken in Sweet Onion Mushroom Sauce,61888,http://www.campbellskitchen.com/recipes/chicken-in-sweet-onion-mushroom-sauce-61888,30,20,"Coated boneless chicken breasts are sawtayed and then simmered in a delectable sauce featuring sweet onion soup, mushrooms and minced onion. Serve it over your favorite pasta or mashed potatoes for an easy, delicious and hearty dish that the whole family will enjoy.",http://www.campbellskitchen.com/recipeimages/chicken-in-sweet-onion-mushroom-sauce-large-61888.jpg,,
Easy Chicken Stroganoff,24443,http://www.campbellskitchen.com/recipes/easy-chicken-stroganoff-24443,45,25,This one-skillet chicken dish features a creamy mushroom sauce and a whole lot of flavor.  It's comfort food that's ready to serve in just 45 minutes.,http://www.campbellskitchen.com/recipeimages/easy-chicken-stroganoff-large-24443.jpg,,
Cornbread Chicken Pot Pie,50101,http://www.campbellskitchen.com/recipes/cornbread-chicken-pot-pie-50101,45,30,"You'll think back to simpler times when you serve this rich, cornbread-topped pot pie right in your own home.",http://www.campbellskitchen.com/recipeimages/cornbread-chicken-pot-pie-large-50101.jpg,,
Slow-Cooked Chicken & Butternut Squash,62114,http://www.campbellskitchen.com/recipes/slow-cooked-chicken-butternut-squash-62114,495,480,"Slow cooking ensures moist and tender chicken, vegetables and apples. The addition of fresh sage and baby spinach adds wonderful flavor to this hearty, comforting meal.",http://www.campbellskitchen.com/recipeimages/slow-cooked-chicken-butternut-squash-large-62114.jpg,,
Sensational Chicken Noodle Soup,27286,http://www.campbellskitchen.com/recipes/sensational-chicken-noodle-soup-27286,35,25,"Sometimes you just want a good, old-fashioned chicken noodle soup. No fancy ingredients. Just great flavor.  Give this version a try. All you need is 6 ingredients and 35 minutes to make a home-style soup that you'll really enjoy.",http://www.campbellskitchen.com/recipeimages/sensational-chicken-noodle-soup-large-27286.jpg,,
White Chicken Chili,24911,http://www.campbellskitchen.com/recipes/white-chicken-chili-24911,40,30,"Campbell's Condensed Cream of Chicken Soup and dry onion soup and recipe mix combine to flavor this scrumptious chili featuring chicken, white kidney beans and chili powder, and served with shredded Cheddar cheese and sliced green onion.",http://www.campbellskitchen.com/recipeimages/white-chicken-chili-large-24911.jpg,,
Chicken & Corn Chowder,61892,http://www.campbellskitchen.com/recipes/chicken-corn-chowder-61892,25,20,"This comfort food classic is chock full of flavor and ready in 25 minutes. Cooked chicken, creamy herb and garlic soup, potatoes, corn, bacon and milk simmer together for incredible chowder that's an absolute winner!",http://www.campbellskitchen.com/recipeimages/chicken-corn-chowder-large-61892.jpg,,
Crunchy No-Fry Chicken,23875,http://www.campbellskitchen.com/recipes/crunchy-no-fry-chicken-23875,30,20,"This delicious baked chicken, coated with seasoned cereal crumbs is every bit as tasty as its fried counterpart. And it's ready in just 30 minutes!",http://www.campbellskitchen.com/recipeimages/crunchy-no-fry-chicken-large-23875.jpg,,
Easy Chicken Florentine,61894,http://www.campbellskitchen.com/recipes/easy-chicken-florentine-61894,30,20,"Tender, boneless chicken breasts are topped with a savory combination featuring sawtayed onion, portobello mushroom soup and fresh baby spinach. Serve it over your favorite pasta for a hearty and delicious dish that is on the table in just 30 minutes!",http://www.campbellskitchen.com/recipeimages/easy-chicken-florentine-large-61894.jpg,,
Savory Lemon Chicken,16,http://www.campbellskitchen.com/recipes/savory-lemon-chicken-16,35,20,"Here's a tasty, quick-cooking skillet dish that features sawtayed chicken breasts in a brightly flavored lemon sauce.  Give it a try. You're gonna love it!",http://www.campbellskitchen.com/recipeimages/savory-lemon-chicken-large-16.jpg,,
